target_sentence,source_sentence
¡Todos pensábamos que ya estaba muerto! #Libia,Taqiniw jiwataxpachaw sasin lup 'iskayatana! # Libia.
"Antes de la reunión, nuestro equipo publicó varios artículos sobre temas de desarrollo a servir como contenidos para los debates semanales en su web (#OECDgfd)","Janir tantachaw qalltasaxa, nanakax aka walja qillqatanak aka desarrollo uksat yatiyawayäpta ukham amtasiwayi kunatix ukanakax contenidos web uksanwa (# OECDgfd) qillqi."
Wikipedia aparece en Shughni,Wikipedia Shughni arun utxi
"Por lo menos, una persona murió y cinco quedaron heridas el 29 de marzo en un gran incendio en la planta de energía térmica de Vuhlehirska en el pueblo de Svitlodarsk en la región ucraniana de Donetsk.","Ucraniana de Donetsk uksan Svitlodarsk markanx planta de energía térmica de Vuhlehirska uksanx 29 uru achuqa phaxsit nina aqtäwiw utjatayna, ukatx mayniw jiwata, ukat phisqha usuchjataw utji."
Los artistas y los músicos de la calle amplían su público cuando se topan con los medios ciudadanos.,"Thakhi artistanakax ukhamarak jayllirinakax uñch ’ ukirinak jilanchayapxi, kunawsatix mistupxi."
Perú: detienen a periodista medioambiental en Cajamarca,Perú: Cajamarca markanx medioambiental yatiyiriruw (periodista) jist 'antapxi
"Por su parte, el subsecretario de Comunicacions, Manuel Quezon III, preguntó a la Iglesia Católica, que exhortó al pueblo a asistir a la acción masiva, por qué se quedó callada durante el mandato de la expresidenta Gloria Arroyo.","Sasaw sawt ’ asïna. Urjarusti, subsecretario de Comunicacions, Manuel Quezon III jupax Iglesia Catolica ukarux jikxatasin jikxatasin fiskt ’ iwa, markachirirux unxtasiwitakix ch ’ amanchtawa, kunawsatix Gloria Arroyo jupax nayrir irpirikan ukjax amukiw sasa."
"Ahora, estos colonos reclaman una gran parte de Borodalupara.",Jichhasti aka colonunkirinakax mä jach ´ pach uraq Borodalupara mayipxi.
Peña Nieto agradeció la hospitalidad a través de su cuenta de Twitter (@EPN):,Peña Nieto jupasti Twitter cuentapanw (@ EPN) jallallt 'awayi:
"De inmediato me enamoré del sitio al leer los posts que había y su razón de ser. Vi el link para colaborar como traductor y dije: ""de aquí soy"".","Ukatx jank 'akiw uka sitio ukan qilqatanak ullarta; ukatsti link ukan mä arut yaqha arur jaqukipañ yanapirinak munask uk uñjta ukat jista: ""akatat nayaxa""."
Las siguientes dos imágenes fueron enviadas al bloguero 7anthala:,Jutïr payïr jamuqanakax bloger 7anthala-r apayatänwa:
"Es una fiesta contagiosa, que sorprende con sus impresionantes carros alegóricos, cuerpos esculturales y sonrisas interminables, la gente no para de bailar y festejar..","Wali thuquntkayawa, wali suma k ’ achacht ’ at carros alegórico-nakampi, k ’ acha janchinakampi ukhamarak k ’ uchirt ’ äwinakampi, jaqinakax janiw sayt ’ apkit thuquntas k ’ uchirt ’ asa.."
"El asalto ha tenido una resonancia particular para los sirios, ya que la ciudad de Hama fue escenario de uno de las más horrendas masacres de la historia moderna.","Jaljatawix mayjt ’ ayawiyiw sapa mayn sirionakan amuyunakapa, masacres kunatix Hama markax uñjasiwayiw aka pachax jach ’ jach ’ a mulljawina."
Solamente hablaba de esto con mi familia.,Wila masinakampikiw arst`asiñarina janiw yaqha jaqir arst`añajakanti.
"Berlín reconoció sus subculturas creativas como parte de su identidad e historia, que ahora actúan como impulsadores clave para el turismo y la economía.","Berlin markax sarantawinakapan sarantawinakaparuw jupanaka sarawipanakjama iyawsawayi, jichhax jupanakax nayrar turismo y economia uka sarantayañatak walpun irnaqasipki."
Aviso 24-0,yatiyäwi 24-0
"Y para terminar, los tributos más inesperados...",Qhipharux mayja thuqhunakaw utji...
Venezuela: Amuay en caos tras explosión de refinería de petróleo,Venezuela: Amuay ukax refinería de petróleon phalläwipamp jan walt 'ayatawa
En artículos sucesivos presentaremos una mayor cobertura de las reacciones de los cibernautas y los análisis realizados desde Argentina y Latinoamérica.,Aka yatiwinakax uñachtapxi kunjam cibernautanakax aka yatiw katupxi ukat Argentina markata ukat Latinoamérica uñakipat lurapxta.
Post de Bernardo Parrella publicado originalmente en Global Voices Books.,Post qillqatax Bernardo Parrella jupan Global Voices Books ukan uñt 'ayatawa.
"Todavía recuerdo bien el incidente: un niño de cinco años con su pijama, deambulando por el antiguo centro comercial City en Kuala Lumpur.","Anchhitkamax janiw armaskt kunajamansa: mä phisqa maran lluqal wawa ikiñatak isthapita, jan kawkir sarañ atis nayra centro comercial City, Kuala Lumpuran uñnaqt ’ asa."
"Fuzhóu, Fujian","Fuzhou, Fujian"
"Después de cuatro horas, hay cambios en el ministerio.",Ukat pusi pacha makiptatatx ministerio ukan turkakiptäwinakx utji.
Los tres estamos trabajando en las traducciones de Global Voices Aymarata.,Kimsanpachax Global Voices Aymarata ukanw jaqukipaw lurt 'asin chikancht 'asipxta.
Más y más filipinos están participando en las operaciones de rescate:,Juk ’ amp juk ’ amp filipinonakaw riskatista ukjamamp yanapt ’ asipxi:
"Varios cibernautas peruanos denunciaron represión policial durante una protesta realizada el 5 de diciembre en Lima, contra el proyecto minero Conga en Cajamarca.",Perú markankir cibernautanakax 5 uru jallu qallta phaxsin Lima Cajamarca marakan Conga qhuya amtar janiw sas qhuru arump kutiyas sartasipk ukanakar pulisiyanakan yanqhachawipatw uñt 'ayapxi.
Acá algunas de esas imágenes:,Akaw yaqhipa jamuqanakaxa:
Esto es lo que Oscar Montezuma pregunta en el blog Blawyer.,Akx Oscar Montezuma jilaw blogupan Blawyer jiskt 'asi.
Se espera que este año la asistencia sea igual o mayor.,Aka maranx waljan chikancht 'asipxañapaw suyt 'ataski.
Enorme multitud en la protesta.,Jach ’ a jach ’ a arst ’ äwi.
Se trata de personas que encuentran información y la comparten.,Akax yatiyäw jikxatirinakata ukat chikacht ’ asinipxi jupanakata yatisi.
"El 29 de mayo, alrededor de 160 niñas terminaron en hospitales después de un ataque con gas en su escuela.",29 uru llamayu phaxsitxa niya 160 imill wawanakw qullayasiñ utan uñjasipxataya yatiqañ utan gas uka yanqha jachayir qullamp yanqhata.
"El 28 de julio es la Independencia de Perú y este año, además, el día en que Ollanta Humala juró como nuevo presidente.","Aka maran 28ni uru willka kuti phaxsitx Independencia de Perú ukaw amtasi, ukampirus, uka ururakiw Ollanta Humala tatax machaq irpirjam iyawsawayi."
Los nombres se cambian por números y esto nos hace ajenos a la tragedia.,"Ukhat payir kutin apasinsti taripatañapatakix, wastat khitanuqxapxarakitana."
"Fachada del Centro de Estudios Avanzados de Puerto Rico y el Caribe en la Calle del Cristo, sede del Comité Organizador de las Fiestas de la Calle San Sebastián y donde se podían encontrar libros, artesanías, comida y diferentes actividades.","Fachada del Centro de Estudios Avanzados de Puerto Rico ukat Caribe en la Calle del Cristo, sede del Comité Organizador de las Fiestas de la Calle San Sebastián uka phunchhawinw pankanakas manq ’ añas artisaniyanakas ukat kunayman luratanakax jikxatañjamanxa."
"Eddie Avila es el director del proyecto de Global Voices, Rising Voices.","Eddie Avila jilax Global Voices, Rising Voices uka amtanakan irpiripawa."
También tenemos noches de cine con peliculas creative commons- por ejemplo exhibimos el documental Pirate Bay.,"Ukjamats arum uñch ’ ukiñanakas películas creative commons ukampix utjapxarakituwa, akjamata Pirate Bay ukatw uñjapxañani."
"Además de investigar sobre la aparición de medios ciudadanos “curadores ”, es decir, ciudadanos que actúan como“ corresponsales de guerra ” con la difusión de información.","Ukampirusa markanakan medios “curadores ” ukjam uñstatapatx yatxatañawa, akasti, akjam sata, markachirinakax chaxwat yanapt ’ asisaw yatiyaw mirantayas irnaqapxi."
De @muntingprinsipe,De @ muntingprinsipe
¿Quién preparó el plan?,Khithis ukham wakichapacha?
"Adolfo Perez Esquivel (@PrensaPEsquivel), Premio Nobel de la Paz, escribió en su cuenta de Twitter:","Adolfo Perez Esquivel (@ PrensaPEsquivel), Premio Nobel de la Paz, Twitter cuentapan qilqt ’ i:"
"Si confiaras en un experto ""darfurés"" basado en el conocimiento...",Ukjaw kuntix lurkaspax ukanaka uñxsnaxa...
Lo siento tanto.,Cibernautanakax wali kulirataw
Cómo se puede invertir y crear valor?,Akax llakiwa.
"En ese sitio, también informan acerca de las protestas en todo el mundo en solidaridad con sus pedidos.","Uka chäqanxa, ukhamarakiw taqpach uraqit arst ’ awinak yanapt ’ k mayïwinakapar yatiyapxi."
"Otras veces, es algo que en los medios no se está hablando mucho.","Yaqhip pachanakanxa, janiw yatiyawinakax yatiyawtuqis yatiskiti."
Soko observa:,"Soko, jupasti sanirakiwa:"
Se dice que nadie conoce realmente a una nación hasta que está dentro de sus cárceles.,"Sapxiwa janiw khitis chiqpach uñt ’ kit aka markxa, jan watañ utat mistsina."
También se registraron fuertes movimientos en las ciudades de Chiang Mai y Chiang Rai en Tailandia.,"Ukatxa Chiang Mai, Chiang Rai ukjamaraki Tailandia markanakanxa uraq kjathatix utjawayakipunitaynawa."
"Por favor, ¡pasa la voz, revisa el sitio web de Global Voices Books y participa!","Amp suma, ¡sapxam yaqhinakaru, uñakipt ´ am sitio web Global Voices Books ukat participapxama!"
"Una decisión que él denomina ""un fuerte soplo en favor de los derechos humanos y el control civil de la milicia"".","Uka amtarux sutinchiwa, mä derechos humanos ukatx civil de milicia jall ukham sutinchata ""."
"Hasta ese momento, seguirá siendo un Kayser Soze. #Libia","Jichhakamaxa, mä Kayser Soze ukakiskaniwa. # Libia"
Nos comentó cómo se adentró en el campo del mapeo de tuiteos indígenas y micro-blogs alrededor del mundo.,Jistuwa kunjams mapeo tuiteos indígenas ukan ukhamarak micro-blogs uraqpachan uñt ’ ayañar chikanchasi taqi ukanaka.
Imagen de @SorayaSM,Imagen de @ SorayaSM
Estas son algunas de las fotografías tomadas por los estudiantes y subidas a la cuenta en Flickr de la Universidad.,Akaw yatiqirinakat jamuqanak apsutaxa akacuenta Flickr de la Universidad ukan apakatata.
"Aquí estaremos durante 2012, dando a conocer y hablando de las costumbres y noticias del mundo así que sintonizadnos y sobre todo decidnos qué os gustaría escuchar.","Walikiwa, 2012 marpachan internet-an aka uraqpach yatiyäwinakat aruskipaskañäni, ukjamarak jan jithiqtamti, ukat kuntï ist 'añ munktä ukat yatiyapxapinita."
"La misiva, publicada por el diario Folha de S. Paulo, refiere:",Paula akjam saw diario Folha qillqkatawayatayna:
Protestas innovadoras.,Mayja uñakipkay arst ’ äwinaka.
"Foto de Piti A Sahakorn, Derechos de autor @Demotix (3/3/2013)","Foto de Piti A Sahakorn, Derechos de autor @ Demotix (3 / 3 / 2013)"
Festival Marrabenta 2013. Afiche publicado en afribuku.,Festival Marrabenta 2013. afribuku uka uñt 'ayat afichi.
"A pedido suyo, no usaremos su nombre en este artículo.",Jupax janiw sutix aka qillqtawin aytapxatati ukham mayt`awayi.
Lograrás más en este mundo a través de actos de bondad que a través de actos de represalia.,"Aka pachanx suma chuymampikiw kuns jikxatasma, janiw kuns ñanqhachañ chuymanpix kuns jikxatkasmasti"
"""El dólar debe caer""","""Ch 'uxña qulqix iraqtañapawa"""
- Periodo de participación.,- Chikanchasiñataki.
¿Cómo supiste de Global Voices y te animaste a involucrarte en su quehacer?,"Kunjamatas Global Voices ukat yatta, ukatx chikancht 'asiraktasa?"
"Además, Oumar participa en Ségou Villages Connection, uno de los proyectos a los que RV presta su apoyo y que se inició en 2011.","Ukampirusa, Oumar jilax Ségou Villages Connection ukan chikanchasi, RV uka amtaruw yanapt ’ i, 2011ni maran qalltawayi."
"@elgatoninja: Lo importante no es que paren los secuestros, matanzas o muertos de hambre. Que nos digan Colombia en vez de Columbia, eso es lo importante.","@ elgatoninja: Aka jiwatanakaxa, jayar irpatanakata, jan sum jakasiñaxa ukax janiw anchhitax askiti jan ukax Colombia ukaw sapxam mumapta jan Columbia sañ munapkti, ukaw askixa."
Estos días los monjes budistas han salido a luchar contra el avance de las inundaciones.,Jilïr irpirinakax jan walt 'äwinakat pä tunk phisqan provincia-w t 'aqhisisipkaki sasaw sapxäna.
"Además, desde 2012, el sistema chino de pensiones está en crisis, con un déficit de 2,9 billones de dólares.","Ukhamarakiw, aka 2012 maranxa, awk tayk payllawix manuruw mantaski2,9 waranq waranq lip ’ ichiru."
Para estar actualizado suscríbete al blog Blogger Swarm o sigue a nuestros tutores y su lista de pupilos en Twitter.,"Taqikunat yatt 'ayataskañatakix Blogger Swarm blog-ar qilqt 'ayasima, jan ukax Twitter-an yanapt 'irinakasar mentors and mentees list arktam."
Participación:,Kunjams mantsna:
Argentina logra su primera medalla de oro en Londres 2012,Argentina markax Londres 2012 ukatx nayrïr quri medalla jikxatawayi
"Pero las actividades públicas, como la firma de una petición, talleres y seminarios comunitarios exigiendo al gobierno detener la construcción de la represa se intensificaron en las últimas semanas.","Ukampisa markachir luräwinaka, kamisa chimpu rixintaw ramawi, kunjamanis uka uñst ’ awinakamp mayipxasin marka apnaqirinakarux uma qut luraw sayt ’ ayawix qhipa simananakax uka mayiwix wal miranti."
"Continuando la polémica, el bloguero Tunecino Ahmed Medien añadió:","Ch 'axwäwix sarantaskakiwa, Tunecino Ahmed Medien bloguerux yapxat 'anwa:"
"Sin embargo, es frágil, mayormente no está escrita y es vulnerable al olvido.","Ukatsti, p ’ akintasikiriwa, jilpachax janiw qillqatakiti, ukat armasitakixiwa."
"Libia no ha reconocido Kosovo, otra razón más para apoyar a Gaddafi.","Libiax janiw Kosovorux utt ’ asiñ munkatanti, ukax juk ’ amp Gaddafirux ch ’ amañchatayna."
"La petición pide la ""liberación inmediata e incondicional"" del bloguero.",Uka mayiwinx mä pita antutataxpan ukwa mayipxi.
Símbolos usados como distintivo durante las actividades tradicionales y el trabajo comunal.,Aka uñanchäwinakax kunayman wakichäwinakan ukhamarak markan irnaqäwipan apnaqasi.
Laura Yabrun (@LambreLau) escribe:,Laura Yabrun (@ LambreLau) qillqt 'iwa:
"Diego Andrés Gonzales Rioja – Gerente del Proceso del Estatuto Autonómico, Asamblea Departamental de Cochabamba (@asambleacbba)","Diego Andrés Gonzales Rioja – Gerente del Proceso del Estatuto Autonómico, Asamblea Departamental de Cochabamba (@ asambleacbba) ukata"
"Foto:Calé, publicación autorizada","Jamuqa: Calé, qhanstayäwix yatiyatawa."
"@YatsarEl: Un lugar donde los viejos sueños se están haciendo realidad, donde la gente trabaja duro y sonríe mucho.","@ YatsarEl: aka tuqin munawinakax jicchax lurasiniwa, jaqinakax ch ’ amampix irnaqasipki ukat walpun lart ’ asipxi."
"31 de octubre de 2012: Cristina, Mario y Gabriela traducen el post al catalán, alemán y español, respectivamente.","31 taypi sata phaxsit 2012 marata: Cristina, Mario ukat Gabriela qillqäw catalán, alemán ukat español arur jaqukipapxi."
Este incidente le recordó a muchos observadores el ataque de 1979 en la embajada de Estados Unidos en Teherán.,Aka jan walt 'awix embajada de Estados Unidos Teherán markan 1979n maran utjakan ukwa amtayi.
Militante talibán pakistaní escribe carta abierta a Malala,Militante talibán pakistaní jupax Malala ukatakiw mä carta abierta qillqt 'i
Sobre el deporte,Jalanuqiwtuqita
"El toque final para terminar un fin de semana respirando, viviendo y sintiendo marrabenta.","Akaw siman samsus tukuyañataki, marrabenta. jakas ukhamarak ist ’ asa."
Ahora ya es proactivo.,Ukampirus jichhaw wakisi yanapañasaxa.
Fernando Dorado escribe sobre la conveniencia de extender el cese al fuego:,Fernando Doradox mä conveniencia aka ch ’ axwawitak qillqawayi:
"Saran Kaba Jones (@sarankjones), defensora del derecho al agua potable y emprendedora social, dijo que es triste pero no sorprendente:","Saran Kaba Jones-ax (@ sarankjones), q ’ uma umat arxatiri ukat imprintirur susyalax sänwa llakiwa ukampins janiw sustjasiñjamakiti:"
La policía usó gas lacrimógeno entre las calles Ingavi y Yanacocha (La Paz).Foto de @jesus_alanoca via Twitter,La policía usó gas lacrimógeno entre las calles Ingavi y Yanacocha (La Paz) .Foto de @ jesus _ alanoca via Twitter
He aquí un fragmento de los tuits de #saudiwomenrevolution,akaxay mä p ’ akintawi utjkis tuqi # saudiwomenrevolution
Ahora han puesto algo así como un dibujo o una señal en ese muro para evitar que nadie añada más grafitis.,Jichhax mä jamuqham uka pirqarux uchapxi jan khitis grafitinakamp yapt ’ añapataki.
Sugerencias de los blogueros,Blogueronakan amtanakapa
"Ante eso el periodista convocó a una contra manifestación, lo que terminó en enfrentamientos.",Ukjamakipansti yatiyirix yaqhanakaruw jawsthapïna ukatx purapatw ch 'axwthaptapxäna.
Trabajadores bolivianos protestan en busca de mejores jubilaciones,Boliviankir irnaqirinakax aski jubilación uka jikxatañatakiw mayisipki
"Mientras que las protestas se intensifican, el 14 de mayo maestros y mineros detonaron dinamita en las calles de La Paz en medio de manifestaciones.","14 uru aka llamayu phaxsitx yatichirinaka, qhuyan irnaqirinakax La Paz jach ’ a markan kallinakanapanx walpunw ninamitas ukanak phallayapxäna."
"Para quienes han estado anteriormente en una manifestación en China, tendrán tendencia a decir: ¿dónde están los despreciables policías?...","Khitinakatix nayririnx China markanx arsusipxan jallukanakatakiwa, jupanakasti yäparjamaw sapxani: kawkinkapxis uka jan wali pallapallanakaxa?"
"¡El cerebro puede averiarse! ""","The brain will breakdown! """
"Las protestas continuaron por parte de los marchistas indígenas para detener la construcción de una autopista que atraviesa el TIPNIS, el Parque Nacional y Territorio Indígena Isiboro Sécure, tal y como Global Voices informó previamente.","Qhurut arsusiwinakax utjaskakiwa, indijinanakax kayuk jutasipkakiw janiw jach 'a thakhix luraskaspat sasina, TIPNIS ukarux janiw walt 'aykaspatai sasina, uka Parque Nacional ukat Territorio Indígena Isiboro Sécure, ukhamwa Global Voices ukax yatiyawayi."
"Debido a los caminos dañados, los rescatistas y grupos de apoyo no pudieron acceder a estas comunidades.",Kunjamatix thakinakax yanqhachat jikxatask ukatjam riskatistas jupanakax jan ayllunakar puriñ atipkiti.
"Dicho post tiene que ser original, es decir, de creación del propio bloguero, no copiado de otra fuente.","Aka post ukax urijinalañapawa, jisnawa kawkiris chiq jupank uka blog tuqina, janiw kupiyatañapakiti yaqha fuintinakatxa."
El proyecto es una de las inversiones en infraestructura de China en Myanmar.,Lurawix Myanmaran Chinan qulq uskuw yänakanawa.
"A mi nadie me contó,yo estaba allí, había paz y llegaron los pacos con el guanaco sin haber provocación. #marchadetodaslasmarchas — Nish (@DenisseNish) March 22, 2014","Nayarux janiw khitis yatiykituti, nayax ukankayatwa, ch 'ujtawikiw utjana janiw kuna jan walt 'awis uñjaskiti. # marchadetodaslasmarchas — Nish (@ DenisseNish) March 22, 2014"
"Así, esperamos mostrar más luz de la humanidad que oscuridad y desolación.",Ukhamat chuymar qhanart ’ ayirkamaki uñist ’ ayasirakini.
Se pudo ver la transmisión en vivo aquí.,Akanw uñacht ’ ayawix uñjasina.uñacht ’ ayawix uñjasina.
Pueden seguir su debate bajo la etiqueta #QRBolivia.,Ukch ’ añkamax # QRBolivia uñt ’ at sutitx aruskipasax sarantasipkakismawa.
En el podcast podrás encontrar fantástica música bajo el sello Creative Commons.,Isch 'ukiñanx walja suma Creative Commons jayllt 'äw ist 'asma.
"Chris Moya, SpainRevolt y el ciberactivismo","Chris Moya, SpainRevolt ukatx ciberactivismo uka"
"Al poco rato, me enseñaron a manejar las herramientas en Global Voices Aymarata, lo cual me parecía muy interesante y un poco complicado.","Ukat mä juk ’ a pacharux Global Voices Aymarata uka apnaqañ yaticht ’ awayapxakirakituwa, ukax wali askinwa ukat mä juk ’ ch ’ amjamarak ukhama."
México: Tribunal Supremo ordena a tribunales civiles encargarse de abusadores militares,México: Tribunal Supremo ukax tribunales civiles ukanakaruw jan wali militaranakar uñjapxañapatak p 'arxtayi
"Pero el clamor público aumentó despúés de que un informante identificara a la empresaria Janet Lim-Napoles, de quien se presume ha conspirado con los legisladores para embolsarse 10 mil millones de pesos filipinos (unos 22 millones de dólares) a través del fondo.","Ukatx mä yatiyirix Janet Lim-Napoles irnaqayiriruw uñt ’ ayana, ukatx markachirinakan arsusiwinakapax yapxattanwa, ukansti, amuyataw legisladores ukanakmpix 10 waranqa waranqanak qatuqañataki, akasti filipinos qulqina (22 waranqa waranqa ukha ch ’ uxña qullqinaka) fondo uka imata qullqita."
"Es difícil de conseguir, ya que exprimir las cañas de azúcar cuesta mucho trabajo.","Janiw jikiñjamakïti, kañat ch ’ umsuyatawa, ukat wali ch ’ amaw lurañaxa."
"Por desgracia, los hábitats de las aves se encuentran amenazados por la agresión de los proyectos inmobilarios y la rápida destrucción del medio natural.",Maysatx pachpankir jamach 'inakax jan walt 'äwin jikxatyasipxi kunalaykuti proyectos uka luraw amtanakamp jan walt 'ayat uñjasipxi.
Muchos sobrevivientes se están quejando de que los paquetes de ayuda ofrecidos por el gobierno todavía no les han llegado.,"Ukan jakaskirinakax yanapawitx kijasipxiwa, janiw gobiernotx kunas jichhakam purinkiti sasa."
"Incluso han pensado en utilizar serrín para absorber el petróleo, pero cuando lo tiraron al agua se lo llevó el viento.",Ukhamarakiw serrin uksa warantapxatäna petróleo ch ’ amsuñapataki kunawsatix umar warantapkatan ukhax thayakirakiw apasxatäna.
"Foto: Calé, publicación autorizada","Jamuqa: Calé, jupan uñstayawipax yatiyatawa."
"El poeta y escitor cubano Antonio José Ponte, que también participó en la conversación, sostuvo esta idea.","Arawiku qillqiri tata Antonio José Pontex, aka aruskipawinxa chikañchasiwayarakitaynawa, akjam sasinrakwa arst ’ awayatayna."
@TalhaZareef: mi mamá me acaba de decir que el #WaterKit es real y que la demostración lo comprueba.,"@ TalhaZareef: mamajax situwa # WaterKit chiqaw ukax akax uñacht ’ ayasiwa, ukat qhanastayasiwa."
Y el investigador Marc Owen Jones cuestiona:,Marc Owen Jones yatxatirix jiskt ’ iwa:
Estar juntos por siempre.,Wiñayatak chikt 'ataña.
"Segundo, hagamos que nuestros niños regresen al colegio.","Payïrinxa, wawanakasa yatiqañ utar kutt ’ ayapxañani."
"Como sea que se diga, se debería referir a puntos de referencia.. ¡no acciones...!","Kunjamsay sapxpan, jan ukasti kunjamsa nayraru sartsna uka lup ’ ipxaspan nayraqatpachxa ukaw wakisi.."
"Laura Chinchilla, la presidente constitucional de Costa Rica ha firmado la Declaración de libertad de Internet.","Laura Chinchilla, jilïr irpir constitucional Costa Rica markatx Declaración de libertad de Internet ukwa rixuntawayi."
