aymara,spanish
Allmilla,Camisa de bayeta de oveja
Allpachu,Cría de alpaca o camélido
Allpi,Comida espesa. Api
Allpiña,Cocinar mazmorra o arroz con leche
Allqa,Objeto o animal descolorido
Allqamari,Ave de rapiña
Allqaraña,"Perdida de color, Descolorido"
Allqasiña,"Frustrarse, fracasar"
Allqasiri,Persona que se frustra
Allsuña,Cavar profundamente
Allsuri,Persona que cava el suelo
Allsuyaña,Hacer cavar a alguien
Allt'aña,Cavar superficialmente
Allthapiña,"Derrumbar intencionalmente, demoler"
Allu,"Pene, miembro viril"
Alluxa,"De cantidad, bastante, mucho"
Alluxaptaña,"Abundar, abundancia, en general"
Alpaga,Alpaca
Alpaqa,Camélido andino. Auquénido
Alsa,Recojo de los sobrantes de comida
Alsaña,Repartición del fiambre o comida sobrante
Altaña,Agacharse. Crecer (sólo vegetales).
Alwat sartaña,"Madrugar, levantarse temprano"
Alxataña,Comprar para aumentar
Amakasiña,Pensar
Amañaqa,Hernia
Amankaya,Azucena
Amanu,"A propósito, Intencional"
Amaru,Tierra dura y seca. Víbora
Amauta,Hábil
Amawt'a,"Sabio entendido, adivino"
Amay pekge,Calavera
Amaya,"Cadáver,  Difunto."
Amayaña,Pensamiento
Amjasuña,Hartarse
Amjhaña,Empalagar
Amjhasiña,Memoria
Ampara,"Brazo, Mano,  Puñado."
Ampi,Expresión de cortesía
Amqa llamayu,Mayo
Amsta,Subida
Amta,Recuerdo
Amtaña,"Recordar, acordarse."
Amtawi,"Acuerdo, idea, intención"
Amtayaña,Hacer recordar
Amtayiri,"Persona que insta, que hace recordar algo"
Amtiri,Pensador
Amui-huisa,Tonto
Amuki,Callar
Amukim,Silencio
Amukiña,"Estar callado, sin mencionar"
Amukt'aña,Callar un secreto
Amukt'ayaña,Hacer callar
Amulli,"Tímido, apocado"
Amulliña,Espantarse durmiendo
Amutaña,Enmudecer
Amuthapiña,Recordar ideas pasadas
Amutu,Persona muda
Amutüña,Ser mudo
Amuyayaña,Hacer reflexionar a las personas
Amuykipaña,"Revisar, reconsiderar"
Amuynaqaña,Pensar mucho en algo
Amuyt'a,Inteligencia
Amuyt'asiña,"Recordarse, con cautela"
Amuyu,"Pensamiento, idea"
Amuyuni,"Persona que tiene idea, consciente, inteligente"
Anakiña,Arrear el ganado
Anakirapiña,Arreárselo
Anakiri,Pastor o el que arrea
Anaksuña,Sacar a los animales del corral
Anala,Niñera
Anantaña,Arrear los animales hacia el corral
Anaquita,Arrear
Anaraña,Quitar el ganado de otra persona
Anarpayaña,"Abandonar, dejar libre a su suerte el ganado"
Anata,Carnaval. Juego. 
Anataña,Jugar
Anatatäta,Tú habías jugado
Anatayaña,Hacer jugar a alguien
Añathuya,Zorrino
Anatiri,Jugador
Añawaya,Planta andina con espinas
Ancha,"Mucho, demasiado, excesivo,"
Anchanchu,Dios del mal o fantasma. Duende.
Anchhicha,Ahora mismo
Anchuchaña,"Ensanchar, hacer más ancho"
Ancu,Nervio
Ani,"Coito, Cópula"
Aniña,Acción del coito
Ankcaru,Afuera
Ankka,Fuera
Anku,"Nervio, tendón"
Anku aycha,Carne fibrosa
Anku chara,Persona que tiene las piernas delgadas
Ankuta,"Borrego, novillo. Animal que no haya tenido aún ninguna cría"
Anna,Lunar
Annaqaña,Arrear los animales de un lado a otro
Anqa,Que indica afuera
Anqajata,Desde afuera
Anqaru,Fuera
Ansaña,"Bostezo, acción de bostezar"
Ansaqiña,Acción de jadear
Ansatataña,Abrir despacio algún objeto o un envase cerrado
Anskataña,"Arrimar la boca para beber, poner la boca para chupar"
Anthapiña,Recoger o conducir a un solo lugar
Antis,Andes
Antutaña,"Largar, soltar. Soltar algo que está preso deliberadamente."
Antutasiña,Soltarse
Antutata,Desatado. Soltado
Antutayaña,Hacer soltar
Antutiri,Persona que libera
Anu,"Perro, animal doméstico"
Anu ch'api,Hierba medicinal
Anu qallu,Cachorro
Anuqara,"Perro, despectivo"
Añusiña,Vestirse
Anxaruña,Empezar a arrear
Anxataña,Aumentar otra manada
Apachita,"Cumbre, lugar más frío"
Apakaña,Quitar
Apakkaña,Bajar
Apaña,Llevar. Llevar algo en las manos.
Apañakaña,Transportar
Apanim,Trae
Apantaña,Meter
Apantata,Metido
Apantayasiña,Hacer meter un bulto con alguien
Apanukuta,"Abandonado, Dejado"
Apaqaña,Quitar algo a alguien
Apaqayaña,Hacer quitar algo con alguien
Apaqiri,Persona que quita algo a alguien
Apasiña,Llevarse
Apata,Llevado
Apatataña,"Desparramar, esparcir"
Apayaña,"Hacer llevar algo, mandar. Remediar."
Apayasiña,Hacerse llevar algo con otra persona
Apayasiri,Persona que se hace llevar.
Apichu,Camote
Apilla,Oca
Apiña,Coger
Apiri,Persona que lleva.
Apita,Cogido
Apjaña,"Ayudar a alguien, Robar, engañar"
Apkataña,Poner en un lugar alto
Apnakaña,Manejar
Apnaqaña,Conducir
Apnaqata,Ser manejado por alguien
Apnaqayaña,Hacer conducir
Apnaqiri,"Persona que conduce, chofer, Conductor"
Apsuña,Sacar
Apsuniña,Ir a sacar
Apsuniri,Persona que saca
Apsusim,Sácate
Apsuyaña,Hacer sacar
Aptaña,"Alzar, levantar. Sublevarse. Traer."
Aptata,"Levantado, recogido"
Apthapiña,"Juntar, recoger"
Apthapiniña,Ir a recoger
Apthapiri,Persona que recoge algo
Apthapita,Recogido
Apu,"Dios, Señor"
Apxantaña,Poner algo encima. Poner la mesa
Apxaruña,Agarrar algo en las manos
Apxaruyaña,Poner algo en manos de alguien
Arch'ukiña,Gritar o exclamar
Ari,Filo. Objeto filoso.
Arichaña,"Afilar, sacar filo"
Arichiri,Persona que saca filo. Afilador
Arkaña,Seguir a alguien
Arkayaña,Hacer seguir
Arma,Olvido
Armaña,Olvidar
Armasiña,Olvidarse
Armasiri,Persona que se olvida. Olvidar.
Armayaña,Hacer olvidar
Armiri,Olvidadizo
Arnaqiri,Persona que grita
Arsusiña,Opinar
Arsuyaña,"Hacer hablar, Hacer confesar"
"Arttaña, Warariña",Gritar
Aru,"Palabra, idioma, lenguaje."
Aru-aptaña,Vocear
Aruapa,Tribuna
Aruchaña,"Hablar, Conversar"
Aructara,Bachiller
Aruma,Noche
Arumanthi,Mañana
Arumi,Naranjado
Arumtaña,Saludar
Arunta,Saludo
Aruntayaña,Hacer saludar
Arxataña,Defender
Arxatayaña,Hacer defender con alguien
Arxatiri,Abogado. Defensor
Asantaña,Guardar un recipiente
Asantata,Guardado
Asantayaña,Hacer llevar algo con alguien
Asantiri,Persona que lleva algo hacia dentro
Asaqaña,"Destapar algo, Quitar algo"
Asaqayaña,Hacer quitar
Asaqiri,Persona que quita algo
Asayiri,Mozo o garzón.
Asiru,"Serpiente, víbora, culebra."
Askichaña,Arreglar
Askichayaña,Hacer arreglar
Askichiri,Persona que arregla
Asnu,"Asno, Burro"
Asqui,Bueno
Asquichata,Arreglado
Astaña,"Trasladar, mudar de un lugar a otro, acarrear."
Astasiña,Mudarse. Encontrarse algo. Trasladarse.
Astayasiña,Hacer que alguien recoja algo. Realizar un rito
Asu,Niño recién nacido
Asut'iña,Azotar
Asut'iri,Persona Que azota a alguien
Asut'iyaña,Hacer azotar a alguien
Asxaraña,"Tener miedo, temer a alguien"
Asxarayaña,"Aterrorizar, amedrentar"
Asxarayiri,Persona que amenaza
Asxariri,"Miedoso, poco sociable, tímido"
Asxartayasiña,Acobardarse de algo
Asxasiña,Sostener algo por algún tiempo en las manos
Asxatasiña,Objeto que se coloca en la cabeza. Sombrero
Atamaña,Avisar
Atamarapiri,"Abogado, Defensor"
Atamasiña,Comentar
Atañaña,Anunciarse
Atataw,Que expresa dolor
Ati,Espalda
Atiña,Poder. Preparar queso
Atintaña,Trancar o tapar el corral
Atinuqaña,Poner la piedra en el suelo
Atipaña,"Derrotar, ganar, vencer."
Atipata,Derrotado
Atipayaña,Hacer vencer o ayudar a vencer
Atipayasiña,Hacerse ganar con alguien
Atipiri,Ganador o persona que alcanza victoria
Atipt'awayaña,Ir junto hasta un lugar y luego adelantarse
Atipxaña,Ganar. Persona que gana.
Atiqaña,Levantar la piedra que esta encima de otra
Atiraña,Destapar un corral de ganado. Elaborar quesos
Aukka,"Demonio, diablo. Enemigo"
Auqui,Padre
Autipacha,Invierno
Autjhi,Hambre
Avvisaña,Comunicar
Awatiña,"Pastorear, apacentar"
Awatirapiña,Pasteárselo para alguien
Awatiri,Pastor
Awatiwi,Lugar o espacio donde se pastea. Pastizal
Awatiyaña,Hacer Pastorear
Awaykatasiña,"Cubrirse con algo, usar manta o aguayo"
Awayu,Tejido cuadrado de varios colores
Awicha,"Abuela, mujer anciana. Espíritu ancestral"
Awila,Vieja
Awilaptaña,Envejecer
Awkch'i,Suegro
Awthata,"Hambriento, persona que tiene hambre"
Awtipacha,Temporada seca
Awtjayasiña,Tener hambre
Awulliña,Aullar. dar aullidos
Awulliri,"El que aúlla, Aullador"
Ayahuiri,Soldado
Ayaña,Llevar una cosa larga de un sitio a otro
Ayaqaña,"Bajar un palo u otro parecido, de un lugar determinado"
Ayaqayaña,Hacer que alguien baje
Ayaqayasiña,Pedir a alguien que lo baje
Ayaraña,Quitar o arrebatar un objeto largo
Ayatatayaña,Estirar o abrir las piernas. Tender o colocar el telar para tejer
Aychani,Vendedor de carne
Aykataña,Elevar o poner en altura una cosa larga
Ayllu,"Comunidad, tribu, distrito, provincia."
Aynacha,Abajo
Aynachankaña,Estar abajo
Aynacht'aña,"Flaquear, debilitarse, fracasar"
Aynacht'ayaña,Hacer fracasar
Ayni,"Deuda social, Labor de reciprocidad"
Aynini,Casada
Aynuqa,Tierras que se cultivan de acuerdo al ciclo de rotación
Aynuqaña,Colocar algo en el suelo
Ayquña,"Quejarse, gemir, lamentar"
Ayquri,Persona que se queja por dolor
Ayquyaña,"Acompañar, estar con el enfermo que se queja de dolor"
Ayruña,"Plantar, poste, plantas u otros"
Ayrutataña,Plantar en varios lugares
Aysuña,Sacar o extraer un objeto largo del interior
Ayt'aña,Echar en cara lo confesado
Ayt'asiña,Echarse en cara los favores hechos
Aytaña,Levantar algo
Aythapiña,Recoger el telar
Aythapita,Persona paralítica
Aytikipiña,Volver a enjuagar
Aytiliña,"Inestable, o algo que esta oscilando"
Aytsuña,Enjuagar ropa y objetos lavables
Ayu,Cancha
Aywiña,Caminar o ir en grupo
Aywiñaqaña,Andar en conjunto de un lugar a otro
Aywiniña,Venir en grupo hacia un lugar determinado
Aywintaña,Entrar o ingresar entre varias personas
Aywiraña,Andar a otro lugar sin dirección
Aywiyaña,Desparramar líquido
Cajsisisña,Vergüenza
Calanca,Campana
Catukaña,"Recibir, Decir sí"
Cayu,Pie
Ccajlla,Abertura
Ch'ach'antaña,Absorber un cuerpo sólido o líquido
Ch'ajiña,Moler con piedra o machucar
Ch'ajiqasiña,Machucarse los dedos sin intención
Ch'ajwaña,"Pelear, reñirse"
Ch'aka achu,Chismoso
Ch'akhantaña,"Enflaquecer, adelgazar"
Ch'akhara,Páncreas
Ch'akhi,"Sediento, con resaca"
Ch'akkataña,Clavar en la pared
Ch'akuntaña,"Fijar con estacas, Apuntalar intencionalmente"
Ch'akuru,Estaca
Ch'akusiña,Golpearse el uno al otro
Ch'alaliña,"Chalaliña, Grito de animales"
Ch'alla,"Arena. Fiesta que se realiza en honor a la madre tierra,"
Ch'allakipaña,Regar o rociar un poco de alcohol en el terreno
Ch'allanukaña,Rociar líquido en un espacio determinado
Ch'allpa,Paja desmenuzada de los cereales
Ch'allphaña,"Accidentarse, estrellarse, lanzarse con violencia a un lugar"
Ch'ama,"Fuerza, vigor"
Ch'ama apaña,Difícil de llevar
Ch'ama laq'a,"Desganado, desalentado"
Ch'amachaña,"Dar fuerza, impulsar"
Ch'amachiri,Persona que apoya a alguien
Ch'amaka,Oscuro
Ch'amakthapiña,Oscurecer
Ch'amampi,Con fuerza
Ch'amantaña,"Engordar, Recobrar fuerza"
Ch'amjasiña,Buscar ocupación
Ch'amkatuña,"Cobrar fuerza, reaccionar con fuerza"
Ch'ampha,Hierba seca
Ch'amsuña,Terminar de chupar
Ch'amt'aña,Chupar con fuerza
Ch'amuña,"Chupar dulces, chicles u otros"
Ch'amusiña,Chuparse el dedo
Ch'ankha,Cordón de lana
Ch'anqhata,Papa maltratada
Ch'apaqa,"Desabrido, comida sin sal"
Ch'aphi,"Arbusto, espino"
Ch'aphirara,Espinoso
Ch'aqa,"Gota, partícula, esfera de un líquido"
Ch'aqaña,Gotear. Salpicar las gotas de un líquido
Ch'aqantayaña,Hacer gotear dentro de algo
Ch'arantata,Mojado
Ch'arantayasiña,Hacerse mojar
Ch'arkhi,Carne salada seca
Ch'aska,"Persona despeinada, melenuda"
Ch'askachaña,"Desgranar, desgreñar."
Ch'ataña,Dar palmadas. Palmotear en señal
Ch'awa,Barba
Ch'awaña,Ordeñar
Ch'awaniña,Ir a ordeñar
Ch'awarapiña,Ordeñárselo para alguien
Ch'awayaña,Hacer ordeñar
Ch'awiri,"Persona que ordeña, Ordeñador"
Ch'axchhsuña,Regar abundantemente el agua con la mano
Ch'axjaña,"Machucar con propósito, con piedra"
Ch'axmiwila,Menstruación
Ch'axta,Mitad o corte menor
Ch'axtata,"Desportillado, puede ser en caso de cristales o porcelana"
Ch'axwaku,"Alborotador, Bullicioso"
Ch'axwiña,Hacer nudo. Discutir
Ch'ayña,Pájaros con plumas amarillas y negras
Ch'ich'i,"Sucio, mugre"
Ch'iji,Pasto verduzco
Ch'ijma,Almohada
Ch'iju,Rajadura en cristales
Ch'ikhi,Inteligente
Ch'ilaña,Sacar las tripas del pescado
Ch'illk'i,Brote de una planta
Ch'imi,Menudo
Ch'ina,Glúteos o nalgas
Ch'ina pata,Sobre las nalgas
Ch'inani,Persona que tiene sobresalidas las nalgas
Ch'inankiri,Que está detrás del último
Ch'iñi,Liendre
Ch'iñirara,Persona con bastante liendre
Ch'inqhaña,"Machucar, maltratar las papas con las uñas"
Ch'inqharasiña,"Golpearse, lastimarse"
Ch'ipha,Red hecha de cuerda
Ch'ipiqaña,Parpadear
Ch'ipiqiri,Persona que parpadea
Ch'iqa tuqiru,Hacia la izquierda
Ch'iqartayaña,Desviar los daños que hace una segunda persona
Ch'iqaru,A la izquierda
Ch'iqiyaña,"Repartir, distribuir"
Ch'iriqaña,Ruido
Ch'irmayaña,Hacer guiñar
Ch'irmiña,Guiñar
Ch'irmiri,Persona que guiña
Ch'irmthapiña,Cerrar los ojos
Ch'irwaña,Exprimir. Exprimir uno por uno
Ch'irwiri,Persona que exprime
Ch'isiña,"Dolor, ardor, punzón"
Ch'isiqiña,Chillar (sólo animales)
Ch'isla,Niño pequeño
Ch'isllichaña,"Engrasar, untar con grasa"
Ch'islliña,"Sudar, ponerse brillo con la grasa"
Ch'isllitataña,Cundir. extenderse las manchas de aceite
Ch'iti,Persona de baja estatura
Ch'itiki,"Saciado, repleto, muy lleno"
Ch'itintaña,Comer demasiado
Ch'itiqayasiña,Hacerse salpicar
Ch'iwa,Hojas tiernas de la quinua
Ch'iwi,"Sombra, Insectos"
Ch'iwichaña,Cubrir del sol
Ch'iwiña,Sombrilla
Ch'ixi,Color gris
Ch'iyaña,Cortar o rajar leña. Romper tela u otro similar
Ch'iyanuqaña,Romper lo que no sirve en pedazos
Ch'iyaqaña,Despedazar
Ch'iyar larama,Azul oscuro
Ch'iyara,Color negro
Ch'iyaraptaña,Volverse negro por un determinado tiempo
Ch'iyasiña,"Abrir, Rajarse por sí solo"
Ch'iyjtata,Ropa a punto de romperse
Ch'uch'u,"Frío, helado"
Ch'ukuña,Costurar
Ch'ukuri,"El que cose, Costurero o Sastre"
Ch'ukuta,Apodo del hablante aymara de La Paz o paceño. Cosido.
Ch'ukuyaña,Hacer coser algo con alguien
Ch'ulla,"Impar, disparejo"
Ch'ullanayra,Persona que tiene un solo ojo
Ch'ullanchaña,Emparejar
Ch'ulli,Caracol
Ch'ulljtayaña,"Separar a una pareja, o dos cosas"
Ch'ullqhi,"Firme, algo duro, resistente"
Ch'ullqhichuyma,"Despiadado, corazón duro"
Ch'ullqichaña,"Hacer más fuerte, enderezarlo"
Ch'ullu,Gorro que cubre la cabeza
Ch'umaña,Escurrir o filtrar
Ch'umaqaña,Escurrir el agua de un recipiente
Ch'umphi,"Color café, castaño claro"
Ch'umsuyaña,Destilar el líquido
Ch'unch'u,"Danza guerrera, de los llanos orientales. Planta con frutos"
Ch'unch'uli,Tripa grueso de carnero
Ch'uñjañ,Helarse las papas que se ha puesto a la helada
Ch'uñt'ata,"Congelado, helado"
Ch'uñtu,Parte elevada en la superficie
Ch'uñu,Papa seca o papa helada y deshidratada
Ch'uñuchaña,Secar la papa helada para elaborar chuño
Ch'uñuyaña,"Hacer helar, congelar"
Ch'upu,Tumor
Ch'upuchasiña,Formarse un tumor
Ch'urawi,"Sombra, cielo cubierto de nubes"
Ch'uri,"Paperas, Inflamación de las glándulas"
Ch'urkisiña,"Obstinarse en el error, aferrarse, no dar el brazo a torcer"
Ch'usa,"Vacio, ausencia, que no contiene nada"
Ch'usachaña,"Desocupar, vaciar"
Ch'usachata,Vaciado
Ch'usaptaña,"Ausentarse, desaparecer"
Ch'usart'aña,"Extrañar, Dar un mal paso"
Ch'usiqa,"Lechuza, ave rapaz nocturna"
Ch'uspa,Bolsa pequeña para llevar coca
Ch'uspi,"Mosquito, insecto de picada dolorosa"
Ch'usuyaña,Sacar el agua de las papas que se hizo congelar
Ch'usäña,"Faltar, estar ausente"
Ch'uta,"Antiguo pantalón, de danza que se baila en la época de lluvia."
Ch'utaraña,Quitar la cáscara de la haba cuando ya esta cosida
Ch'utillu,Danza aymara
Ch'utstaña,"Sobresalir, aventajar una persona"
Ch'utu,Sombrero puntiagudo. Vértice de la cabeza
Ch'uwa,Líquido cristalino
Ch'uwanchaña,Enjuagar
Ch'uwaraña,Cristalizar el agua. Escurrir la papa
Ch'uwiña,Envolver la cuerda o hebra
Ch'uwinchasiña,Envolver en la mano
Ch'uwthapiña,Envolver la tela para llevar con más comodidad
Ch'uxuntaña,"Volver verde, cubrirse de verde, pudrir"
Chacha,"Esposo, hombre, varón, valiente."
Chacha-uaina,Marido
Chachachasiña,Casarse
Chachani,Mujer casada
Chachapura,Entre hombres
Chacuntaña,Clavar
Chacuru,Estacar
Chagjruru,Mezclar
Chaiña,Jilguero
Chajghuaña,Bulla
Chajgrukipaña,Entremezclar
Chajgruña,Entreverar
Chajha,Ronco
Chaka,Puente. Hueso.
Chakaña,Atascar
Chakanaqaña,Trancarse en cada lugar o no poder pasar
Chakata,Perdido
Chakayaña,Hacer atascar a alguien
Chakitilla,Blusa antigua
Chakka,Gota
Chakkiri,Chorrear
Chakuña,Cinta que sujeta el sombrero
Chakxaña,Levantar un obstáculo o quitar el palo de la puerta
Chala,"Chalina, prenda que cubre el cuello"
Challa,Arena
Challacu,Playa
Challani,Arenoso
Challmaña,Codear a una persona
Challmuña,Persona anciana que come con dificultad
Challwa,Pez
Challwakatu,Pescador
Challwani,Persona que tiene peces
Chaluna,Carne seca
Chalunaña,"Charquear la carne, Deshidratar la carne"
Chamaka,Obscuro
Chamani,Forzudo
Chamillicu,Puchero
Chamuña,Chupar
Chanaku,Hijo menor de la familia
Chanca,Hilo
Chani,Precio
Chanichaña,Poner precio a algo
Chanichiri,Tasador
Chanini,Objeto que tiene precio
Chanipa,Equivalente
Chanqa,Comida típica
Chantaca,Plomo
Chapara,Producto agrícola que sobre sale en su clase
Chapchaña,Picotear
Chapi,Espina
Chapillaña,Remover el terreno cuando se va arando con la yunta
Chapuña,Preparar la masa o amasar
Chaqayaña,Hacer perder
Chara,Muslo. Pierna.
Chara cuchu,Ingle
Chara taypi,Entre pierna
Charaña,"Pueblo, nombre de una región,"
Charara,Planta medicinal
Chaski,Mensajero
Chaulla,Pescado
Chawiri,"Remador, persona que rema"
Chawsuña,Sacar cosas del agua
Chcaktaña,Desaparecer
Chchamaca,Tinieblas
Chchauaña,Ordeñar
Chchiara,Negro
Chchiwa,Verdura
Chchujhu,Orín
Chchukki,Papa
Chejarpayaña,Despedir
Chejarpayata,Despedido
Chekja,Ala
Chhaja,Voz ronca
Chhajäña,Estar ronca de voz
Chhalaña,Comprar de poco en poco
Chhalla,Hoja de maíz que envuelve a la mazorca y al tallo
Chhallaña,Quitar el haba del tallo sin descascarar
Chhallmaña,Dar de codazos a una persona
Chhama,"Granulada, Toscamente molido"
Chhamaña,Moler toscamente
Chhankha,Áspero
Chhapalljaña,Sacar las malas hierbas de la chacra
Chhapchha,Alguna cosa no bien hecha
Chhapha,Objeto no sólido que se deshace poco a poco
Chhaphaña,Deshacer una cosa en forma de granulada. Migas de pan
Chhaphu,"Casi obscuro, Muy al amanecer o al anochecer"
Chhapthapiyasiña,Hacerse obscurecer en el camino
Chhaqaña,"Perderse, Perder"
Chhaqasiña,Demorarse largo rato
Chhaqhata,"Perdido, extraviado"
Chhaqhxaña,Ya no aparecer. Perderse definitivamente
Chhaqtaña,Dejar de ser visible
Chharphu,Opaco
Chharpt'aña,"Perder la vista, cegar"
Chharqu,"Desordenado, confuso"
Chhaxcha,Fleco de una prenda
Chhaxchhantaña,Apareamiento de las aves
Chhaxraña,"Peine, objeto que sirve para peinarse. Peinar"
Chhaxrañuta,Salón de peinados
Chhaxrasiña,Peinarse
Chhaxrata,Peinado
Chhaxrayasiña,Hacerse peinar con otra persona
Chhaxriri,Persona que peina
Chhaxwa,Montón de piedra o cascajo en gran cantidad
Chhaxwaña,Amontonar piedra o cascajo
Chhaypht'aña,"Opacar, Hacer opacar"
Chhayphu,Opaco
Chhichhillankha,"Mosca, insecto díptero"
Chhichhiña,Hablar muy despacio
Chhijchhi,Granizo
Chhijchhintiwa,Está granizando
Chhijchhipa,Hierba aromatizante
Chhijchhuta,Granizado
Chhiji,Accidente
Chhijini,Persona a la que le sucedió alguna cosa
Chhijllaña,"Elegir, escoger, seleccionar"
Chhijnuqaña,"Establecer, Lograr tener cosas para vivir"
Chhijnuqäwi,Lugar donde se logra tener cosas para vivir
Chhijthapiyaña,"Estremecer, hacer temblar"
Chhijuyaña,"Atemorizar, causar temor"
Chhiqa,"Ala de aves, o de algún objeto volador"
Chhiqanqara,Axila. Sobaco
Chhiri,Crespo cabello ensortijado. Rizado
Chhiriyaña,"Rizar, formar rizos en el cabello"
Chhithaña,"Unir una prenda a otra con aguja,"
Chhitharaña,Ensartar varias cosas a una prenda
Chhiwchhi,"Polluelo, Cría de ave"
Chhiwiqiña,Trinar de las aves
Chhixchhirayaña,Quemar superficialmente los pelos o algo
Chhixintayaña,Hacer correr líquido con impulso del grifo
Chhixwiriri,Libélula
Chhiya,Medida de longitud mediante la palma de la mano
Chhiyaña,Medir la longitud con la palma de la mano
Chhuchhulla,Patas de animales
Chhuchhuña,Meter bulla
Chhujchhuthalaña,Malaria
Chhujuña,Mecer a un niño
Chhujusiña,Mearse
Chhukhuyaña,Arrear la manada muy apurado
Chhullchhuku,Ave pequeña del lago
Chhullu,Totora comestible. Objeto que hace ruido
Chhulluchhullu,Sonaja
Chhullunkhata,Congelado
Chhullunkhaya,Hielo
Chhullunkhayaña,Congelar el agua
Chhulluqiyaña,Sonar entre pequeños metales en forma de sonaja
Chhulluxa,Granizo menudo
