target_sentence,source_sentence
El tema que más me impacto fue la ayuda que recibían los trabajadores humanitarios durante y después de las tareas de rescate tras el terremoto ocurrido en Japón: Japón: Ayudando a los trabajadores humanitarios y en Aymara: Japón: Japunan yanapt’irinakar yanapt’asa.,Japon markan humanitarios irnaqirinakax uraq khathat utjki ukhax yanap qatuqkan ukaw wal amtasiyitu akham qilqt ’ at p ’ iqinchatawa: Japón: Ayudando a los trabajadores humanitarios ukat Aymaran jaqukipatax akawa: Japunan: yanapt ’ irinakar yanapt ’ asa.
"Se identificaron con su causa muchos otros sectores, entre ellos anarquistas, indignados del 15M, personas de todas las edades y de varias regiones de España.","Jupanakax yaqha sectoranakamp sanäni: 15M uñisirinaka, taqi maranir jaqinaka ukhamarak Españan taqituqinakan kipkachasipxana. Uka uñjtawix España markan nayra uñjtawinakat wali thuqhtasiriwa."
Allí practicó milagrosas curaciones por las que fue canonizado.,Uksanw askinjam qullasiñanakx yatintatayna ukat khuyapayatanwa.
"Dialogía también organizó un evento para Centroamérica llamado ""Conectémonos"" que se llevó a cabo en Costa Rica en 2011.","Dialogía ukax ukakipakarakiw Centroamérica uksan ""Conectémonos"" sata Costa Rica markan 2011 maran wakicht 'awayi."
"Se puede encontrar cobertura completa acá, en fracés, inglés y árabe, la cobertura de los debates así como intervenciones y fotos.","Uka yatiyäwix akanw fracés, inglés ukat árabe arunakan uñjasi, ukjamarakiw jamuqanakas uñjasi."
"En el aniversario del día mundial de la radio, publicamos un post acerca de cómo las interacciones entre Internet y los organismos de Radio difusión tradicionales pueden crear programas de radio más eficaces.","Radio urupansti, mä post uñachayapta ukhamarus qillqatax qhananchayäna kunjams internetamp radiopix mayak irnaqasiki."
"Escuelas masculinas y femeninas de Ciudad Isa, Ciudad Hamad y Jidhafs marcharon en mitad de la jornada escolar para apoyar a los manifestantes acampados en la Glorieta Perla (Lulu).","Chach warm yatiñ utanakata, Isla markata, Hamad, Jidhfs markanakat Glorieta Perla (Lulu) sartasisrinakar yanapt 'asa."
"Sin la amenaza a prisión, ahora es Durov quien tiene que volver y demostrar que no ha dejado Rusia para siempre.",Durov jupax Rusia markar janiw wiñayatak jaytkanti.
"Durante un tiempo estos entubamientos soportaban bien la lluvia, pero a medida que se siguió construyendo la superficie natural absorbente disminuyó y el volumen de agua que comenzó a pasar por allí aumentó.",Cátedra Libre del Agua facebook pajinanx Buenos Aires jach 'a markan utt 'asiwipat jichhakamax kuna jan walt 'äwinakas utji ukxatw amuyt 'i:
"España: apoyo a lucha minera: “¡Que sí, que sí nos representan! ”",España: minera ukar arxatañatak yanapt 'a: “¡Uñt 'aychistuwa! ”
Irán: Apagón de Internet previo al día de protesta,Iran: Urun Janïr Unxtasïwinak Qalltkipan Internet-ax Apaqti
"¡Mundo, les enseñamos a vivir!","¡Uraqi, jakañ yatichasipxsmawa."
"Michelle Bachelet votando el 17 de noviembre de 2013 en Santiago, Chile.","Michelle Bachelet jupax aka tunka paqall urur saraqkipan aka lapaq phaxsit wutump yanapt ’ atanwa khaysa Santiago, Chile uka jach ’ a markana."
Esta apreciación se demuestra de manera tangible en cada calle del país en las paredes de sus ciudades.,Aka uñjawinx markan kallinkapanx askinw uñt ’ ayasi.
"En un juicio anterior, otro juez dijo que ""los hombres son suficientes"", lo que llevó a que otro miembro de la ACPRA, Abdulkareem al-Khadar, se rehusara a asistir al juicio y fuera arrestado.","Al-Saeed jupan warmipa ukhamarak mamapax sesion ukankañ munapxäna, nayrur sesion ukanx mayni jues jupax akhama sasaw arst 'äna ""chachanakax suficiente ukhamawa sasa""."
El día del gran temblor,Uraq khatat uru
"Estos cabezudos fueron hechos por el colectivo de teatro Agua, Sol y Sereno, quienes ofrecieron una presentación en la Plaza de la Barandilla.","Aka kawisutunakax Agua, Sol ukat Sereno uka qutucht ’ atanakamp luratawa, jupanakax Barandilla Plazanw sarantañatakiw luratanakapx uñacht ’ ayapxänxa."
Hossein comenzó una huelga de hambre el 19 de mayo de 2012 por una simple razón: para tener derecho a quedarse en el hospital después de la operación y no volver a la cárcel. Su estado de salud empeoró y finalmente lo trasladaron a un hospital.,"Hossein jupax 19 uru llamayu phaxsit 2012 maran manq ’ at mutuñamp qalltawayatyana qullayasiñ utan qhiparañatak mayt ’ asa, ukatx qullayasiñ utarux irpxapxapuninwa, 7 uru mara t ’ aqa phaxsitx Hossein jupax wasitamp manq ’ at mutuñar mantxarakiw sasinw yatiyxapxana yatiyxapxi."
"Al menos hay 80 fallecidos, todavía no tengo más detalles.","Utxiwa 80ka jiwatanaka, janiw utxkituti juk ’ ampi yatitaxa."
Discusión: Lenguas nativas en el Ciberespacio,Aruskipäwi: Ciberespacio ukanx tayka arunakax kunjamaskisa
Es por eso que el software de estos dispositivos móviles tiene que ser software libre - libre como en software libre no gratis como en cerveza gratis.,"Ukatwa, software libre ukjam uñjataxa, ukatx aka dispositivos unxtasirinakax software libre jan inaki, kunjamtix jisktan cerveza inaki ukjama."
"Jiyan Azadi tuiteó esta imágen, comentando que eran decenas de miles de personas las reunidas en Yuksekova, y que más tarde los antidisturbios les atacaron:","Faruk Arhan, Bianet ukan mä yatiyirix twiter ukanw mä kurdankir warmir palla pallan yanqhachawipatw uñt ’ ayi:"
Fuerte presencia de seguridad,Pallapallanakaw jark 'aqi
"Actualmente, las Fiestas han perdido bastante de su carácter religioso, convirtiéndose más en un festival de pueblo que atrae anualmente más de 300,000 personas.","Jichhürkamaxa, phunchhawinakax saräwipatx waljt ’ ataw chhaqhthi, ukjamat markan phunchhawipakaspas ukjamar tukusa, ukatx 300,000 ukat jilt ’ at jaqinak sapa maranx utjayi."
"Bajo el sistema GES, hemos hecho posible que los agricultores tramiten negocios en sus propias lenguas locales utilizando sus teléfonos celulares.","GES chiqanchankasaxa, yapuchirinakax arupampipin alakipäwinak lurapx apnaqkay jawsañanak apnaqasa."
El periodista Jenan Moussa hizo un llamamiento a la razón:,Jenan Moussa ukax jawsthapiwayiwa:
"En su blog, Boris Bernal comparte el análisis hecho por el Centro de Estudios para el Desarrollo Laboral y Agrario (CEDLA):",Boris Bernal jupax blogupanw Centro de Estudios para el Desarrollo Laboral y Agrario (CEDLA) uksan mä anilisis luratw uñt ’ ayi:
"Este artículo echa un vistazo a los Choju Bangumi (長寿番組) japoneses, que literalmente significa “programa de larga vida ”. Las definiciones para los programas Choju van desde los que tienen 10 años hasta los que tienen 50.","Aka articulo qilqatax Choju Bangumi aka qilqt ’ atax japonesanakaruw uñt ’ i, sañ muniwa “jaya jakawi wakichäwi ” .Choju wakichawinakax 10 maranit 50 maraninakatakiwa."
La primera traducción de Global Voices en Aymara fue publicada en septiembre de 2009 y continuó con publicaciones intermitentes durante el siguiente año.,"Global Voices Aymarata ukan nayrïr jaqukipaw qilqatax sata qallta phaxsin 2009n maranw uñt ’ ayasiwayi, ukatx qhipa marakamax uñt ’ ayatakiskiwa."
"Si quieres conocerlas y saber lo que puedes hacer para vivir en concordancia con tus ideales, encontrarás una selección de 120 en el libro y más en esa web.","Ukjamatix juk ’ amp uñt ’ añ munstaxa, 120n ukja qillqatanakaw utji, thaqtamaya"
"El problema matriz es que la C P es una aplanadora ambiental con patente de corso otorgado por el TLC con EEUU en el sentido que, como ya les ha sido entregadas las concesiones, con los términos de referencia de un plan de operaciones aprobado por el gobierno peruano (a pesar que tiene varios agujeros serios bajo la línea de flotación ambiental, por los cuales la Historia debería castigar cuando menos moralmente a los responsables), este consorcio petrolero está “blindado ” por dicho TLC para ejecutar, sí o sí, sus planes, a cualquier costo, sin que nadie del gobierno se les oponga, bajo penalidad legal vigente del instrumento binacional.","Jach ’ a jan walt ’ äwix Conoco Phillips ukaw jan walt ’ ayirikiti, Tratado de libre comercio EEUU uksat ch ’ amanchata."
"Chacón publicó esta nota justo cuando Sacha Llorenti, ex ministro de Gobierno, fue designado como embajador permanente ante la Organización de Naciones Unidas (ONU) con sede en Nueva York.","Chacón kullakax kunapachati Sacha Llorenti, ex ministro de Gobierno, ukar embajador permanente ukjam utt ’ ayatak ukhaw yatiyatyana, Organización de Naciones Unidas (ONU) ukaru."
Tuiteos sobre la ley se pueden leer bajo la etiqueta #LeydeVidaSilvestre.,Tuiteo kamachinakax akanw ullart 'asispa # LeydeVidaSilvestre.
"Wael Abbas (Misr Digital), Shahinaz Abdel Salam (Wa7da Masreya), Ramy Raoof (Human Rights Defender), Amr Gharbeia (Gharbeia), Noha Atef (Torture in Egypt), Mohamed Khaled (Mac), Sameh El Aroosy (Eye on the World), Malek Mostafa (Malek X), Hossam El Hamalawy (3arabawy) y muchos otros, han defendido los derechos humanos y revelado violaciones y corrupción de la policía.","Wael Abbas (Misr Digital), Shahinaz Abdel Salam (Wa7da Masreya), Ramy Raoof (Human Rights Defender), Amr Gharbeia (Gharbeia), Noha Atef (Torture in Egypt), Mohamed Khaled (Mac), Sameh El Aroosy (Eye on the World), Malek Mostafa (Malek X), Hossam El Hamalawy (3arabawy) sat sutininakmp ukat yaqhanakampix jaqinakan kamachinakapat palla pallan jan wali luräwipata, apnaqäwipatarxatapxi."
Esto es parte de la fiesta electoral que se vive hoy en Costa Rica.,Costa Rica markanx wasitatw machaq jilïr irpirir chhijllawayapxi
Mi pequeño hermano quiere dormir,Jisk 'a sullkajaw ikiñ nunxi
"Oficialmente, Sudán del Sur se ha convertido en el país más nuevo de África, luego que los sudaneses del sur votaran por separarse del norte.","Qhanpachanxa, Sudán del Sur markaxa mä machaq markaruw Africa tuqina tukuwayi, kunawsatix sudanankirinaxa mä voto jaquntawi tuqiw ch ’ amacht ’ awayapxi."
"Estamos agradecidos por la financiación que recibimos de las fundaciones que nos han apoyado en los último años, pero para seguir haciendo lo que hacemos, y para seguir independientes, libres y sostenibles, también dependemos del generoso apoyo de amigos y lectores independientes como tú.","Aka qhipa maran fundaciones ukat yanapt 'anakamp yanapt 'asinipk ukanakaruw jallallt 'ata, juk 'amp nayraqatar sarantañataki. yanapanakax ayudan servidor ukan espaciopar yanpt 'añatakiwa, ukhamarak administrativos, Global Voices ukanakataki."
"Sin embargo, las reuniones fuera de línea siguen siendo cruciales, y Redon describe los Open Labs como ""orientados al café"": ""Aquí la charla personal es mucho más eficaz que cualquier otra forma de comunicación.","Ukampirusa, tantachawinakax anqaxats yatisiskakinwa, ukatw Redon jupax qillt ’ i Open Labs ukax “orientados al café ” ukjama:“ akanx jupampipun aruskipañax juk ’ amp kusaw jayatuq aruskipañatsa."
Nuevo diálogo para la preservación de idiomas en Internet,Machaq aruskipawi Internet tuqin arunak jakayañataki
Las Fiestas de la Calle San Sebastián: El carnaval de Puerto Rico,Calle San Sebastiánan phunchhäwinaka (pa): Puerto Ricon anata (pa)
@piersmorgan: Ahora Argentina cuenta con el católico Nº 1 y el futbolero Nº 1 del planeta. #Bergoglio #Messi,@ piersmorgan: Jichhax Argentina markax mä católico ukat mä anatiri planetan utji. # Bergoglio # Messi
Abajo muchos estaban con náuseas y tumbados en el suelo.,"Manqhanx waljaniw jan walt ’ ayat axchkatapxana, ukat pampar jaqnuqat ukjamanakaw utjana."
- Lanzamiento del concurso: 21 de Julio de 2013,- Atipt ’ asiwimp qalltäwi: 21 uru aka willka kuti phaxsit 2013 marata
"Solo espero que este país solidario, capaz de destinar cientos de millones de euros a las causas más peregrinas, se vuelque en ayudar y en reconstruir, y me refiero al gobierno que nos desgobierna, a ver por donde sale ZP, será digno de ver.","Aka yanapt ’ asir markatx suyt ’ twa, waranqa waranqa euronak apayañapataki, sañ muntwa, kawkiriti jilïr irpir irptkchistux ZP ukax kawkhsa mistuspa uka uñjañatakix chuymanispati"
"El bloqueo de la información y las opiniones pueden ser efectivos temporalmente, pero una política de abnegación no va a funcionar en el largo plazo.","Arst ’ atanakampir yatiyäwimpir jark ’ antañax juk ’ a pachakiw utjaspa, ukampins jan munañ amtax janjakiw jaya pachatakikaniti."
Jaja.. Sí que me interesa la gastronomía pero no cocino tanto como me gustaría. Me interesa mucho probar comidas de diferentes países.,"Jaja.. gastronomía ukax wali askiwa, may may markanakat manq 'anak mallt 'añax wali askiwa, ukampirus janiw nayax anch phayirikti."
México: Tribunal Supremo ordena a tribunales civiles encargarse de abusadores militares,México: Tribunal Supremo ukax tribunales civiles ukanakaruw jan wali militaranakar uñjapxañapatak p 'arxtayi
Otra de las peticiones es una ley universal de derechos.,Markachirinakan yaqha mayiwipax ley universal de derechos ukarakiwa.
"Esta foto, cargada por Patricia Vela, se ha compartido más de 600 veces en Facebook.","Aka jamuqaxa, Patricia Vela ukan apaqatawa, 600 kutiw Facebookan uñt 'ayataxi."
El polémico sitio web es una plataforma para el usuario que genera contenido semejante al periódico local ABC Color.,Uka payachasit web plataforma chaqax ukhamarakiw ABC Color. yatiyäwjam kikpa yänaka luri.
Idiomas: Los sonidos digitales del bésiro (chiquitano),Idiomas: Bésiro (chiquitano) uka arux Internet taypina
Y Anahí Tortorello (@anahitorto) le pregunta:,Ukatx Anahí Tortorello (@ anahitorto) jiskt ’ iwa:
En una entrada de su blog del año pasado trató el tema de por qué el equipo ruso es tan efectivo:,"Jupax maymar mä blog-apan qilqatat amuykipäna, kunatti Rusian-kir tamax wali irnaqiriwa:"
El vídeo muestra a niños jugando -mientras que en el fondo las explosiones continúan.,"Qhipan bombanakax jalaqasipki, ukhampach wawanakax piqump anatasipkirakiwa, uk videonx uñachayi."
"Irma escribió: ""cuando uno se encuentra en otra tierra, surgen el amor de la familia y la necesidad de compartir lo que se tiene"".","Irmax qilqt 'iwa: ""kunawsati maynix yaqha markank ukhax wila masinakamp chika aruskipañ munapxi""."
Aviones,Lata jamach 'inaka
"El blog Haiti Observer, desde Florida, tuvo un error similar en un post del 7 de junio sobre la prohibición impuesta por el gobierno haitiano a la importación de pollo y otros productos de carne de su vecina República Dominicana, donde, según el artículo, se ha emitido una advertencia ""con respecto al rebrote de gripe aviar (virus H1N1 virus) ” (el resaltado es nuestro).","Blog Haiti Observer, Florida uksata, 7 ur mata t`aq phaxsin mä post ukana pachpa pantajaw uñast`ayani aka jan wallpa aycha, kunayman yanak aychanak República Dominicana uksat mantanjañapataki, ukansti, qillqat sañ munanwa, chhuxi usu aviar (virus H1N1 virus) qalltatapata yatiyawiwa."
"El 26 de agosto fuertes lluvias provocaron inundaciones catastróficas en varias regiones de Senegal causando 18 muertos y 42 heridos hasta el 27 de agosto. El gobierno senegalés ha organizado un plan de ayuda con el apoyo de la organización francesa ""Organisation des secours"", Orsec, para atender a las víctimas.","26 llumpaqa phaxsitx Senegal markanx jallux walpun purintawayatayna ukatax umaw q 'ala apawayxatayna ukampirus jichhakamax 18 jiwata ukat 42 usuchjata utjayawayi .Jilïr irpiri mayacht 'ataynawa El gobierno senegalés ha organizado un plan de ayuda con el apoyo de la organización francesa ""Organisation des secours"" Orsec uka tamanakaru jan walt 'añan jikxatasirinakar yanapat 'añataki."
Chile: Let busca sacar a los ciclistas de la pista a las veredas,Chile: Let ukax ciclistanakar kallinakat apsuñwa thaqhi
Durov negó el rumor e insistió en que no había sido expatriado.,Inas Moscú uksan jan walt ’ ayañ amtaskchi?
"@TobyMatthiesen: Juzgado de Bahréin encarcela a 6 tuiteros por un año por ""insultar"" al Rey. Otra señal del CCEAG tratando de limitar el impacto de Twitter","@ TobyMatthiesen: Bahréin markan Juzgadopax 6 tuiteroruw mä mara mutuñ utankañapatak jist ’ antati, Rey ukar ""jan wali arunakamp"" arch ’ ukis qillqatanakapxata."
Al firmar la declaración dijo:,Uka declaración rixuntkasax arst 'wayiwa:
"es imperativo adoptar o fijar una posición política regional respecto de la promoción y fomento para con un cultivo que, habiendo demostrado tener alta rentabilidad, bien puede constituirse en una alternativa para sacar de la pobreza, postración y miseria a cientos o miles de campesinos gracias a la alianza entre el Estado y la inversión productiva.","Pulitika ukax aka yapuchaw jiltayañatakix mayispawa, jan ukax pisin jakawit nayrar mistuñataki, aka chikancht ’ asiw utjatapata."
"Al mismo tiempo, Cinetica13 comparte la actuación de un músico de calle muy popular de la ciudad de Mérida.",Cinetica 13n Mérida thakhit mä jayllawirin actuacionapyatiyapxi.
@warrenellis: El discurso de Gadaffi se reduce a “Todo el mundo va drogado menos yo.,"@ warrenellis: Gadaffina arsutapaxa akch ’ arukiw tuku, “uraqpach jaqinakawa ñanqha qullan tukjataw, sas saniwayapxi."
Fotos de canyu.com,Canyun jamuqa waraqatanaka.com
"El presidente de la Comunidad de Madrid, Ignacio González (Partido Popular) ha defendido en la emisora de Radio de Libertad Digital el establecimiento de ""ciertos límites"" a la publicación de imágenes comprometedoras en los médios de comunicación porque ""hay que cuidar los daños a las personas y a las instituciones"".","Comunidad de Madrid ukan irpiri, Ignacio González (Partido Popular) jupax Radio de Libertad Digital ukana “ciertos límites ” uka utt ’ atanakat jan wakiskir jamuqanak qhanstayawit yatiyäwinakan arxati, ukjamat“ jaqinakarus ukat utt ’ äwinakarus yañqhachawitx uñjaña ”."
"Vamos por esa 2da vuelta el 15 de dic, por un gobierno lleno de cambios @VotoEvelyn2014 #EvelynUn7ParaChile #EvelynMatthei — Cote Boegel (@CoteBoegel) November 18, 2013",Payiri chhijllawiru sarañani apasiniwa tunka phisqan jallu qallta phaxsitxa saraqkipana aka pä waranqa tunka kimsani marata @ VotoEvelyn2014 # EvelynUn7ParaChile # EvelynMatthei — Cote Boegel (@ CoteBoegel) tunta kinsaqallqun urur saraqatapat lapaq phaxsita aka pä waranqa tunka kimsam marata
"Los pobladores indígenas del TIPNIS - apoyados por la Confederación de Pueblos Indígenas de Bolivia (CIDOB) afirman que estos mecanismos constitucionales deberían haberse llevado a cabo antes que cualquier acuerdo o contrato fuera firmado. Morales finalmente anunció la cancelación del contrato de la carretera con la empresa brasileña OAS a comienzos de abril, pero los manifestantes siguen rechazando los términos y condiciones de la consulta planteada.","Morales jilatax jichhax janiw amtäwix (contrato) lurasxanit thakhix OAS uka tamamp sarakiwa qasawi phaxs qalltkasaxa, ukhamas arst ’ irinakax janiw munkapxit jiskt ’ anaka (consulta previa)."
"Foto:Calé, publicación autorizada","Jamuqa: Calé, qhanstayäwix yatiyatawa."
"Por último, hay algo que podemos dedudir de la película y es que ninguna sociedad, por perfecta que pretenda ser, puede hacer la vista gorda sobre sus habitantes y sus necesidades - y hacer frente a la cuestión de la inmigración constituye el primer paso hacia la comprensión de las historias humanas.","Qhipqhiparuxa, mayaw utji yatiñatak amuyañax aka pilikulanxa ukax janiw mä tamasa, wali chiqakasins munkaspaht, jan nayramp uñjaña jaqinakapxaru ukatx kuntix munapki - ukatx kuntix anqa markanakar mistunñxat munapki ukanakaxwalpun mayachi Nayrïr amuyu jaqi jaqirinakat chhillqtasa."
"Para celebrar el fin de las actividades del año por los 20 años de la Convención de los Derechos de los niños; la Unicef y estudiantes de danza y ballet trabajaron juntos para producir un colorido flash mob en la plaza vieja de La Habana, como muestra este video.","Wakichäwinak tukuykas amtañataki, wawanakan 20 mara Convención kamichinakapata; Unicef ukhamarak yatiqirinakampix ballet thuqhuwi Habanan nayra plasan Flas mob sutin wakichapxatana, aka videox ukwa uñacht 'ayi."
El bloguero dice que estamos todos atrapados por el régimen islámico y que deberíamos proteger nuestra herencia natural y cultural.,"1freecountry qilqiwa urmania qutax Teherán ukjamarakiw Tabriz janiw uñtkiti, kunatix wali sumaw yaqhip simananakax luraña. Mosbate1000 siwa:"
"El blog akm-kuntha ha subido fotos que muestran los daños en las carreteras de Tarle, una ciudad a 30 km de Tachileik.","Blog ukaxa akm-kuntha apkatiwa waruqatanaka thakhinaka Tarle, mä markawa 30 km Tachileik tuqina t ’ unxataki ukanaka."
"Varias calles estratégicas siguen bloqueadas en La Paz y en la ciudad vecina El Alto, con un transporte público limitado circulando por sus rutas usuales. El bloqueo de rutas también impide el tránsito normal a otras regiones.","La Paz jach ’ a markanx kawkhanti k ’ añaskunakax uksarus aksarus jalnaqapk uka kallinaka, avenidanakaw jist ’ antata (bloqueadas) Altu markanxa, uka kipkarakiw kawkhti k ’ añaskunakax aynachar saraqapk ukat makhatanipk uka jach ’ a avenidas yaqhip pachax jark ’ antatarakiw uñjasi."
"Los argentinos, el gobierno y el papa Francisco",Argentinunakamp jilïr irpirimp papa Franciscompi
"Las elecciones presidenciales del 9 de octubre en Camerún, parecen no generar mucho interés en las personas.","Camerún markan Jilïr mallkutak chijlläwi 9 uru taypisata phaxsina, ukax janis jaqinakar p ’ arxtaykasp ukhamaw amuyasi."
Japón: Donde ir de vacaciones es inaceptable,Japón: Samart ’ awir sarañax jan iwskañawa
No fue una escalada común y corriente.,Janiw jskit mhatañaxa.
¿Qué posibilidades ve en el uso de tecnología para apoyar y movilizar a la sociedad civil?,"Kuna wakisirinakasa, tecnología apnaqañax sociedad civil ukarux unxtasiñt yanap ’ tani?"
"Con esta etiqueta se hará toda la labor de difusión y convocatoria a participar en el Festival, pero también deseamos que haya tuiteos alusivos al tema del Festival con este hashtag.","Aka itikitampiw qalpach irnaqawis lurasini, ukhamarakiw wakisi tuytirus utjaspa uka phunchawir ch ’ amanchiri aka hashtag ukampi."
Algunos de los fertilizantes pagados por el gobierno nunca fueron entregados a los almacenes.,Mä qawqha marka apnaqirin fertilizantenak jikxatatax janipiniw imjasïwinakar churatäkanti.
La conclusión obvia — la única conclusión ahora — es que no lo desea.,Ukjamat jichhax mä sapa qilqa tukuyx janiw munkiti.
"López dijo que su hija “desaparecida ”, Yahaira Guadalupe Bahena, fue secuestrada hace dos años por“ hombres armados ” que después la torturaron hasta morir.","López mamax siw chhaqhir wawajax, Yahaira Guadalupe Bahena ukham sutini wawapax secuestratänawa pä mar qhipa “juparux walja jaqinakaw katuntawayapxatäna ” ukat yanqhachawayapxarakiw jiwañapkama."
"La crisis alimenticia en Sahel, de la que casi no se está informando, está llegando a proporciones preocupantes pues actualmente cerca de 2.5 millones de personas en Níger están afectadas por la escasez de comida.","Sahelenan manq ’ a pistäwi, janiw yatiyatakiti, jichhapachax Nigeranx 2.5 millones jaqinakaw manq ’ at pist ’ añan aynacht ’ atapxi."
"Según el programa elaborado, el taller transcurrió de la siguiente manera:",Wakichäwi wakt 'ayatrjamax akhamatw sarantayatäna:
A continuación podrá ver un programa preliminar:,Jichhax wakichat wakich uñjañäni:
Este post es parte de nuestra cobertura especial Olimpíadas Londres 2012.,Aka post Olimpíadas Londres 2012 ukxt qilqatawa.
"Agregó que ""la propuesta del gobierno asegura la sostenibilidad del Fondo Solidario durante unos 30 años y que respalda financieramente a los actuales y a los futuros jubilados.""","Maysatsti, ministro de economía Luis Arce arst ’ anwa ""gobiernox Fondo Solidario ukax akat 30 mararux akat qhipar jubilados ukanakatakix utjaspa ukwa amti"" sasina."
Celebrando la victoria de Irán de la Copa del Mundo de fútbol (via Kosuf.com),Irán markan Copa del Mundo de fútbol uka anatawit amtkasa (via Kosuf.com)
"Lago Titicaca, cuya ecología se vería afectada por actividades mineras y petroleras según activistas aymaras (Foto: J. Enrique Molina)","Puno markankir Gobierno Regional, Mauricio Rodríguez jilaxa, mayt ’ awayiwa Ollanta Humala jilïr irpiriy akanakx uñjpan sasa."
Katie continuará compartiendo contenido de Mi Voz en inglés para Global Voices.,Katie ukax Nayan Aruxa (Mi Voz) ukan Global Voices ukatakix ingles arut luräwinakapampix sarnataskakiniwa.
"El grupo 2 se reunirá en Guatemala los días 19, 20 y 21 de octubre.","Paya t 'aqa (grupo 2) ukax Guatemala markan 19, 20 ukat 21 uru taypi sata (octubre) phaxsit apasini."
Lluvia,Jallu
Los mágicos videos hablan por sí mismos (a través de Neatorama):,Aka muspkay video jamuqaw juk ’ amp parlistu (aka tuqi Neatorama):
Tiene gracia que los conviertan el ley: es como exigirles a las parejas que tengan una buena vida sexual después de casarse.,Suma chuymaw utji kamachiptayañataki: akampix walisun jakapxam sisksnas ukhamaw mä parijaruxa kunapachatix jaqichataxapxi ukhaxa.
